Sim Number,Standings Date,Timing,Season Part,Conference,Division,Group,Rank,Team,Wins,Losses,Ties to Finish,Winning Percent,Team Strength
1,2010-05-03,pre Wind-up,Part 1,Visionaries,East Division,Ridge Group,2,Atlanta,14,14,2,0.5,0.534
1,2010-05-03,pre Wind-up,Part 1,Visionaries,East Division,Ridge Group,3,Nashville,14,15,2,0.4827586206896552,0.601
1,2010-05-03,pre Wind-up,Part 1,Visionaries,East Division,Ridge Group,4,Birmingham,10,16,4,0.38461538461538464,0.466
1,2010-05-04,post Wind-up,Part 1,Visionaries,East Division,Ridge Group,1,Nashville,16,15,0,0.5161290322580645,0.601
1,2010-05-04,post Wind-up,Part 1,Visionaries,East Division,Ridge Group,1,Charlotte,16,15,0,0.5161290322580645,0.438
1,2010-05-04,post Wind-up,Part 1,Visionaries,East Division,Ridge Group,3,Atlanta,15,15,0,0.5,0.534
1,2010-05-04,post Wind-up,Part 1,Visionaries,East Division,Ridge Group,4,Birmingham,12,18,0,0.4,0.466
1,2010-05-03,pre Wind-up,Part 1,Visionaries,East Division,Desert Group,1,Merida,20,9,2,0.6896551724137931,0.509
1,2010-05-03,pre Wind-up,Part 1,Visionaries,East Division,Desert Group,2,Monterrey,15,14,2,0.5172413793103449,0.571
1,2010-05-03,pre Wind-up,Part 1,Visionaries,East Division,Desert Group,3,Dallas,15,15,0,0.5,0.53
1,2010-05-03,pre Wind-up,Part 1,Visionaries,East Division,Desert Group,4,San Antonio,10,21,1,0.3225806451612903,0.472
1,2010-05-04,post Wind-up,Part 1,Visionaries,East Division,Desert Group,1,Merida,20,11,0,0.6451612903225806,0.509
1,2010-05-04,post Wind-up,Part 1,Visionaries,East Division,Desert Group,2,Monterrey,16,15,0,0.5161290322580645,0.571
1,2010-05-04,post Wind-up,Part 1,Visionaries,East Division,Desert Group,3,Dallas,15,15,0,0.5,0.53
1,2010-05-04,post Wind-up,Part 1,Visionaries,East Division,Desert Group,4,San Antonio,10,22,0,0.3125,0.472
1,2010-05-03,pre Wind-up,Part 1,Visionaries,West Division,Pass Group,1,Vancouver,15,13,3,0.5357142857142857,0.623
1,2010-05-03,pre Wind-up,Part 1,Visionaries,West Division,Pass Group,2,Denver,15,14,2,0.5172413793103449,0.534
1,2010-05-03,pre Wind-up,Part 1,Visionaries,West Division,Pass Group,3,Calgary,13,13,4,0.5,0.565
1,2010-05-03,pre Wind-up,Part 1,Visionaries,West Division,Pass Group,4,Seattle,11,15,4,0.4230769230769231,0.37
1,2010-05-04,post Wind-up,Part 1,Visionaries,West Division,Pass Group,1,Calgary,17,13,0,0.5666666666666667,0.565
1,2010-05-04,post Wind-up,Part 1,Visionaries,West Division,Pass Group,2,Vancouver,17,14,0,0.5483870967741935,0.623
1,2010-05-04,post Wind-up,Part 1,Visionaries,West Division,Pass Group,3,Denver,16,15,0,0.5161290322580645,0.534
1,2010-05-04,post Wind-up,Part 1,Visionaries,West Division,Pass Group,4,Seattle,12,18,0,0.4,0.37
1,2010-05-03,pre Wind-up,Part 1,Visionaries,West Division,Rush Group,1,Oakland,16,13,1,0.5517241379310345,0.41
1,2010-05-03,pre Wind-up,Part 1,Visionaries,West Division,Rush Group,1,Los Angeles,16,13,1,0.5517241379310345,0.508
1,2010-05-03,pre Wind-up,Part 1,Visionaries,West Division,Rush Group,3,Tijuana,15,14,1,0.5172413793103449,0.51
1,2010-05-03,pre Wind-up,Part 1,Visionaries,West Division,Rush Group,4,Phoenix,13,14,3,0.48148148148148145,0.491
1,2010-05-04,post Wind-up,Part 1,Visionaries,West Division,Rush Group,1,Oakland,16,14,0,0.5333333333333333,0.41
1,2010-05-04,post Wind-up,Part 1,Visionaries,West Division,Rush Group,1,Los Angeles,16,14,0,0.5333333333333333,0.508
1,2010-05-04,post Wind-up,Part 1,Visionaries,West Division,Rush Group,2,Tijuana,16,14,0,0.5333333333333333,0.51
1,2010-05-04,post Wind-up,Part 1,Visionaries,West Division,Rush Group,4,Phoenix,14,16,0,0.4666666666666667,0.491
1,2010-06-29,pre Wind-up,Part 2,Founders,East Division,Port Group,1,New Haven,45,29,4,0.6081081081081081,0.531
1,2010-06-29,pre Wind-up,Part 2,Founders,East Division,Port Group,2,Montreal,41,35,2,0.5394736842105263,0.525
1,2010-06-29,pre Wind-up,Part 2,Founders,East Division,Port Group,3,New York,35,38,6,0.4794520547945205,0.494
1,2010-06-29,pre Wind-up,Part 2,Founders,East Division,Port Group,4,Boston,35,39,5,0.47297297297297297,0.506
1,2010-06-30,post Wind-up,Part 2,Founders,East Division,Port Group,1,New Haven,46,32,0,0.5897435897435898,0.531
1,2010-06-30,post Wind-up,Part 2,Founders,East Division,Port Group,2,Montreal,43,35,0,0.5512820512820513,0.525
1,2010-06-30,post Wind-up,Part 2,Founders,East Division,Port Group,3,New York,40,39,0,0.5063291139240507,0.494
1,2010-06-30,post Wind-up,Part 2,Founders,East Division,Port Group,4,Boston,35,44,0,0.4430379746835443,0.506
1,2010-06-29,pre Wind-up,Part 2,Founders,East Division,Canal Group,1,Pittsburgh,42,32,5,0.5675675675675675,0.562
1,2010-06-29,pre Wind-up,Part 2,Founders,East Division,Canal Group,1,Toronto,42,32,5,0.5675675675675675,0.571
1,2010-06-29,pre Wind-up,Part 2,Founders,East Division,Canal Group,3,Philadelphia,30,48,1,0.38461538461538464,0.389
1,2010-06-29,pre Wind-up,Part 2,Founders,East Division,Canal Group,4,"Washington, D.C.",27,46,6,0.3698630136986301,0.253
1,2010-06-30,post Wind-up,Part 2,Founders,East Division,Canal Group,1,Toronto,46,33,0,0.5822784810126582,0.571
1,2010-06-30,post Wind-up,Part 2,Founders,East Division,Canal Group,2,Pittsburgh,45,34,0,0.569620253164557,0.562
1,2010-06-30,post Wind-up,Part 2,Founders,East Division,Canal Group,3,Philadelphia,31,48,0,0.3924050632911392,0.389
1,2010-06-30,post Wind-up,Part 2,Founders,East Division,Canal Group,4,"Washington, D.C.",28,51,0,0.35443037974683544,0.253
1,2010-06-29,pre Wind-up,Part 2,Founders,West Division,Aurora Group,1,St. Paul,41,34,4,0.5466666666666666,0.5
1,2010-06-29,pre Wind-up,Part 2,Founders,West Division,Aurora Group,2,Winnipeg,37,39,3,0.4868421052631579,0.481
1,2010-06-29,pre Wind-up,Part 2,Founders,West Division,Aurora Group,3,Chicago,35,42,2,0.45454545454545453,0.49
1,2010-06-29,pre Wind-up,Part 2,Founders,West Division,Aurora Group,4,St. Louis,34,42,3,0.4473684210526316,0.457
1,2010-06-30,post Wind-up,Part 2,Founders,West Division,Aurora Group,1,St. Paul,43,36,0,0.5443037974683544,0.5
1,2010-06-30,post Wind-up,Part 2,Founders,West Division,Aurora Group,2,Winnipeg,38,41,0,0.4810126582278481,0.481
1,2010-06-30,post Wind-up,Part 2,Founders,West Division,Aurora Group,3,Chicago,37,42,0,0.46835443037974683,0.49
1,2010-06-30,post Wind-up,Part 2,Founders,West Division,Aurora Group,4,St. Louis,35,44,0,0.4430379746835443,0.457
1,2010-06-29,pre Wind-up,Part 2,Founders,West Division,Rail Group,1,Indianapolis,45,32,2,0.5844155844155844,0.58
1,2010-06-29,pre Wind-up,Part 2,Founders,West Division,Rail Group,2,Akron,41,35,2,0.5394736842105263,0.547
1,2010-06-29,pre Wind-up,Part 2,Founders,West Division,Rail Group,3,Detroit,38,35,5,0.5205479452054794,0.426
1,2010-06-29,pre Wind-up,Part 2,Founders,West Division,Rail Group,4,Columbus,33,43,3,0.4342105263157895,0.531
1,2010-06-30,post Wind-up,Part 2,Founders,West Division,Rail Group,1,Indianapolis,46,33,0,0.5822784810126582,0.58
1,2010-06-30,post Wind-up,Part 2,Founders,West Division,Rail Group,2,Akron,42,36,0,0.5384615384615384,0.547
1,2010-06-30,post Wind-up,Part 2,Founders,West Division,Rail Group,3,Detroit,39,39,0,0.5,0.426
1,2010-06-30,post Wind-up,Part 2,Founders,West Division,Rail Group,4,Columbus,36,43,0,0.45569620253164556,0.531
1,2010-06-29,pre Wind-up,Part 2,Visionaries,East Division,Ridge Group,1,Charlotte,42,34,3,0.5526315789473685,0.438
1,2010-06-29,pre Wind-up,Part 2,Visionaries,East Division,Ridge Group,2,Atlanta,39,36,3,0.52,0.534
1,2010-06-29,pre Wind-up,Part 2,Visionaries,East Division,Ridge Group,3,Nashville,37,40,2,0.4805194805194805,0.601
1,2010-06-29,pre Wind-up,Part 2,Visionaries,East Division,Ridge Group,4,Birmingham,34,43,1,0.44155844155844154,0.466
1,2010-06-30,post Wind-up,Part 2,Visionaries,East Division,Ridge Group,1,Charlotte,44,35,0,0.5569620253164557,0.438
1,2010-06-30,post Wind-up,Part 2,Visionaries,East Division,Ridge Group,2,Atlanta,39,39,0,0.5,0.534
1,2010-06-30,post Wind-up,Part 2,Visionaries,East Division,Ridge Group,3,Nashville,39,40,0,0.4936708860759494,0.601
1,2010-06-30,post Wind-up,Part 2,Visionaries,East Division,Ridge Group,4,Birmingham,35,43,0,0.44871794871794873,0.466
1,2010-06-29,pre Wind-up,Part 2,Visionaries,East Division,Desert Group,1,Merida,45,34,0,0.569620253164557,0.509
1,2010-06-29,pre Wind-up,Part 2,Visionaries,East Division,Desert Group,2,Monterrey,39,36,4,0.52,0.571
1,2010-06-29,pre Wind-up,Part 2,Visionaries,East Division,Desert Group,3,Dallas,38,36,4,0.5135135135135135,0.53
1,2010-06-29,pre Wind-up,Part 2,Visionaries,East Division,Desert Group,4,San Antonio,29,50,1,0.3670886075949367,0.472
1,2010-06-30,post Wind-up,Part 2,Visionaries,East Division,Desert Group,1,Merida,45,34,0,0.569620253164557,0.509
1,2010-06-30,post Wind-up,Part 2,Visionaries,East Division,Desert Group,2,Monterrey,42,37,0,0.5316455696202531,0.571
1,2010-06-30,post Wind-up,Part 2,Visionaries,East Division,Desert Group,3,Dallas,39,39,0,0.5,0.53
1,2010-06-30,post Wind-up,Part 2,Visionaries,East Division,Desert Group,4,San Antonio,29,51,0,0.3625,0.472
1,2010-06-29,pre Wind-up,Part 2,Visionaries,West Division,Pass Group,1,Vancouver,42,34,3,0.5526315789473685,0.623
1,2010-06-29,pre Wind-up,Part 2,Visionaries,West Division,Pass Group,2,Calgary,39,33,6,0.5416666666666666,0.565
1,2010-06-29,pre Wind-up,Part 2,Visionaries,West Division,Pass Group,3,Denver,38,34,7,0.5277777777777778,0.534
1,2010-06-29,pre Wind-up,Part 2,Visionaries,West Division,Pass Group,4,Seattle,38,37,3,0.5066666666666667,0.37
1,2010-06-30,post Wind-up,Part 2,Visionaries,West Division,Pass Group,1,Vancouver,45,34,0,0.569620253164557,0.623
1,2010-06-30,post Wind-up,Part 2,Visionaries,West Division,Pass Group,2,Calgary,43,35,0,0.5512820512820513,0.565
1,2010-06-30,post Wind-up,Part 2,Visionaries,West Division,Pass Group,3,Seattle,41,37,0,0.5256410256410257,0.37
1,2010-06-30,post Wind-up,Part 2,Visionaries,West Division,Pass Group,4,Denver,40,39,0,0.5063291139240507,0.534
1,2010-06-29,pre Wind-up,Part 2,Visionaries,West Division,Rush Group,1,Tijuana,40,35,3,0.5333333333333333,0.51
1,2010-06-29,pre Wind-up,Part 2,Visionaries,West Division,Rush Group,2,Phoenix,38,36,4,0.5135135135135135,0.491
1,2010-06-29,pre Wind-up,Part 2,Visionaries,West Division,Rush Group,3,Oakland,31,40,7,0.43661971830985913,0.41
1,2010-06-29,pre Wind-up,Part 2,Visionaries,West Division,Rush Group,4,Los Angeles,31,42,5,0.4246575342465753,0.508
1,2010-06-30,post Wind-up,Part 2,Visionaries,West Division,Rush Group,1,Tijuana,40,38,0,0.5128205128205128,0.51
1,2010-06-30,post Wind-up,Part 2,Visionaries,West Division,Rush Group,2,Phoenix,39,39,0,0.5,0.491
1,2010-06-30,post Wind-up,Part 2,Visionaries,West Division,Rush Group,3,Oakland,34,44,0,0.4358974358974359,0.41
1,2010-06-30,post Wind-up,Part 2,Visionaries,West Division,Rush Group,3,Los Angeles,34,44,0,0.4358974358974359,0.508
1,2010-08-12,pre Wind-up,Part 3,Founders,East Division,Port Group,1,New Haven,62,52,2,0.543859649122807,0.531
1,2010-08-12,pre Wind-up,Part 3,Founders,East Division,Port Group,2,Montreal,57,55,4,0.5089285714285714,0.525
1,2010-08-12,pre Wind-up,Part 3,Founders,East Division,Port Group,3,New York,57,56,4,0.504424778761062,0.494
1,2010-08-12,pre Wind-up,Part 3,Founders,East Division,Port Group,4,Boston,57,57,3,0.5,0.506
1,2010-08-13,post Wind-up,Part 3,Founders,East Division,Port Group,1,New Haven,64,52,0,0.5517241379310345,0.531
1,2010-08-13,post Wind-up,Part 3,Founders,East Division,Port Group,2,Montreal,59,57,0,0.5086206896551724,0.525
1,2010-08-13,post Wind-up,Part 3,Founders,East Division,Port Group,3,Boston,58,59,0,0.49572649572649574,0.506
1,2010-08-13,post Wind-up,Part 3,Founders,East Division,Port Group,3,New York,58,59,0,0.49572649572649574,0.494
1,2010-08-12,pre Wind-up,Part 3,Founders,East Division,Canal Group,1,Toronto,69,44,3,0.6106194690265486,0.571
1,2010-08-12,pre Wind-up,Part 3,Founders,East Division,Canal Group,2,Pittsburgh,62,49,5,0.5585585585585585,0.562
1,2010-08-12,pre Wind-up,Part 3,Founders,East Division,Canal Group,3,Philadelphia,46,68,2,0.40350877192982454,0.389
1,2010-08-12,pre Wind-up,Part 3,Founders,East Division,Canal Group,4,"Washington, D.C.",36,80,0,0.3103448275862069,0.253
1,2010-08-13,post Wind-up,Part 3,Founders,East Division,Canal Group,1,Toronto,71,45,0,0.6120689655172413,0.571
1,2010-08-13,post Wind-up,Part 3,Founders,East Division,Canal Group,2,Pittsburgh,65,51,0,0.5603448275862069,0.562
1,2010-08-13,post Wind-up,Part 3,Founders,East Division,Canal Group,3,Philadelphia,47,69,0,0.4051724137931034,0.389
1,2010-08-13,post Wind-up,Part 3,Founders,East Division,Canal Group,4,"Washington, D.C.",36,80,0,0.3103448275862069,0.253
1,2010-08-12,pre Wind-up,Part 3,Founders,West Division,Aurora Group,1,St. Paul,60,53,4,0.5309734513274337,0.5
1,2010-08-12,pre Wind-up,Part 3,Founders,West Division,Aurora Group,2,Chicago,57,59,1,0.49137931034482757,0.49
1,2010-08-12,pre Wind-up,Part 3,Founders,West Division,Aurora Group,3,Winnipeg,52,58,7,0.4727272727272727,0.481
1,2010-08-12,pre Wind-up,Part 3,Founders,West Division,Aurora Group,4,St. Louis,52,60,5,0.4642857142857143,0.457
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Aurora Group,1,St. Paul,63,54,0,0.5384615384615384,0.5
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Aurora Group,2,Winnipeg,57,60,0,0.48717948717948717,0.481
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Aurora Group,2,Chicago,57,60,0,0.48717948717948717,0.49
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Aurora Group,4,St. Louis,53,64,0,0.452991452991453,0.457
1,2010-08-12,pre Wind-up,Part 3,Founders,West Division,Rail Group,1,Indianapolis,69,45,3,0.6052631578947368,0.58
1,2010-08-12,pre Wind-up,Part 3,Founders,West Division,Rail Group,2,Akron,59,54,3,0.5221238938053098,0.547
1,2010-08-12,pre Wind-up,Part 3,Founders,West Division,Rail Group,3,Detroit,60,55,2,0.5217391304347826,0.426
1,2010-08-12,pre Wind-up,Part 3,Founders,West Division,Rail Group,4,Columbus,52,62,2,0.45614035087719296,0.531
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Rail Group,1,Indianapolis,71,46,0,0.6068376068376068,0.58
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Rail Group,2,Detroit,61,56,0,0.5213675213675214,0.426
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Rail Group,3,Akron,59,57,0,0.5086206896551724,0.547
1,2010-08-13,post Wind-up,Part 3,Founders,West Division,Rail Group,4,Columbus,53,63,0,0.45689655172413796,0.531
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,1,Charlotte,59,51,7,0.5363636363636364,0.438
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,2,Nashville,55,55,7,0.5,0.601
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,3,Birmingham,53,59,4,0.4732142857142857,0.466
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,4,Atlanta,49,62,5,0.44144144144144143,0.534
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Ridge Group,1,Nashville,60,57,0,0.5128205128205128,0.601
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Ridge Group,1,Charlotte,60,57,0,0.5128205128205128,0.438
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Ridge Group,3,Birmingham,57,59,0,0.49137931034482757,0.466
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Ridge Group,4,Atlanta,53,63,0,0.45689655172413796,0.534
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Desert Group,1,Monterrey,60,52,4,0.5357142857142857,0.571
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Desert Group,2,Merida,61,55,1,0.5258620689655172,0.509
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Desert Group,3,Dallas,54,59,3,0.4778761061946903,0.53
1,2010-08-12,pre Wind-up,Part 3,Visionaries,East Division,Desert Group,4,San Antonio,50,65,2,0.43478260869565216,0.472
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Desert Group,1,Merida,62,55,0,0.5299145299145299,0.509
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Desert Group,2,Monterrey,61,55,0,0.5258620689655172,0.571
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Desert Group,3,Dallas,55,61,0,0.47413793103448276,0.53
1,2010-08-13,post Wind-up,Part 3,Visionaries,East Division,Desert Group,4,San Antonio,51,66,0,0.4358974358974359,0.472
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Pass Group,1,Vancouver,66,46,4,0.5892857142857143,0.623
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Pass Group,2,Calgary,61,51,4,0.5446428571428571,0.565
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Pass Group,3,Denver,60,51,6,0.5405405405405406,0.534
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Pass Group,4,Seattle,55,59,3,0.4824561403508772,0.37
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Pass Group,1,Vancouver,67,49,0,0.5775862068965517,0.623
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Pass Group,2,Calgary,63,53,0,0.5431034482758621,0.565
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Pass Group,3,Denver,61,56,0,0.5213675213675214,0.534
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Pass Group,4,Seattle,57,60,0,0.48717948717948717,0.37
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Rush Group,1,Los Angeles,58,56,3,0.5087719298245614,0.508
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Rush Group,2,Phoenix,57,57,3,0.5,0.491
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Rush Group,3,Tijuana,55,56,5,0.4954954954954955,0.51
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Rush Group,4,Oakland,46,65,5,0.4144144144144144,0.41
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Rush Group,1,Los Angeles,60,57,0,0.5128205128205128,0.508
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Rush Group,2,Phoenix,59,58,0,0.5042735042735043,0.491
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Rush Group,3,Tijuana,58,58,0,0.5,0.51
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Rush Group,4,Oakland,48,68,0,0.41379310344827586,0.41
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Port Group,1,New Haven,81,71,4,0.5328947368421053,0.531
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Port Group,2,Montreal,82,72,2,0.5324675324675324,0.525
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Port Group,3,New York,78,77,1,0.5032258064516129,0.494
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Port Group,4,Boston,70,80,6,0.4666666666666667,0.506
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Port Group,1,Montreal,83,73,0,0.532051282051282,0.525
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Port Group,1,New Haven,83,73,0,0.532051282051282,0.531
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Port Group,3,New York,79,77,0,0.5064102564102564,0.494
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Port Group,4,Boston,74,82,0,0.47435897435897434,0.506
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Canal Group,1,Toronto,90,62,4,0.5921052631578947,0.571
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Canal Group,2,Pittsburgh,88,66,2,0.5714285714285714,0.562
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Canal Group,3,Philadelphia,70,82,4,0.4605263157894737,0.389
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Canal Group,4,"Washington, D.C.",50,101,5,0.33112582781456956,0.253
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Canal Group,1,Toronto,93,63,0,0.5961538461538461,0.571
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Canal Group,2,Pittsburgh,89,67,0,0.5705128205128205,0.562
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Canal Group,3,Philadelphia,70,86,0,0.44871794871794873,0.389
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Canal Group,4,"Washington, D.C.",53,103,0,0.33974358974358976,0.253
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Aurora Group,1,St. Paul,86,66,4,0.5657894736842105,0.5
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Aurora Group,2,Chicago,74,79,3,0.48366013071895425,0.49
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Aurora Group,3,Winnipeg,68,86,2,0.44155844155844154,0.481
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Aurora Group,3,St. Louis,68,86,2,0.44155844155844154,0.457
1,2010-09-26,post Wind-up,Part 4,Founders,West Division,Aurora Group,1,St. Paul,89,67,0,0.5705128205128205,0.5
1,2010-09-26,post Wind-up,Part 4,Founders,West Division,Aurora Group,2,Chicago,75,81,0,0.4807692307692308,0.49
1,2010-09-26,post Wind-up,Part 4,Founders,West Division,Aurora Group,3,Winnipeg,69,87,0,0.4423076923076923,0.481
1,2010-09-26,post Wind-up,Part 4,Founders,West Division,Aurora Group,3,St. Louis,69,87,0,0.4423076923076923,0.457
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Rail Group,1,Indianapolis,97,55,4,0.6381578947368421,0.58
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Rail Group,2,Columbus,77,78,1,0.4967741935483871,0.531
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Rail Group,3,Detroit,75,80,1,0.4838709677419355,0.426
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Rail Group,4,Akron,70,83,3,0.45751633986928103,0.547
1,2010-09-26,post Wind-up,Part 4,Founders,West Division,Rail Group,1,Indianapolis,99,57,0,0.6346153846153846,0.58
